room_id,host_id,host_is_superhost,property_type,room_type,neighborhood,accommodates,bedrooms,bathrooms,latitude,longitude,reviews,price,cleaning_fee,total
258873,1360620,f,Apartment,Private room,North Beach,2,1.0,1.0,37.80134,-122.40713999999998,365,89.0,,
259621,329072,f,Hostel,Shared room,Financial District,1,1.0,0.0,37.7947,-122.40373999999998,232,45.0,0.0,45.0
259622,329072,f,Hostel,Shared room,Financial District,5,1.0,0.0,37.79441,-122.40473,211,45.0,0.0,45.0
259919,38836,f,Apartment,Entire home/apt,Inner Sunset,2,1.0,1.0,37.7647,-122.45368,13,114.0,99.0,213.0
261358,1257432,t,Condominium,Entire home/apt,Downtown/Civic Center,2,0.0,1.0,37.78322,-122.42025,1,138.0,100.0,238.0
269371,838614,t,Apartment,Private room,Castro/Upper Market,2,1.0,1.5,37.76294,-122.43973999999999,184,115.0,50.0,165.0
269463,1244308,t,Apartment,Entire home/apt,Haight Ashbury,2,1.0,1.0,37.767109999999995,-122.45151000000001,122,250.0,50.0,300.0
271602,1421296,t,Condominium,Entire home/apt,South of Market,3,1.0,1.0,37.77899,-122.40506,102,133.0,0.0,133.0
271647,1421509,f,Apartment,Shared room,Outer Sunset,1,1.0,1.5,37.75553,-122.50707,134,35.0,20.0,55.0
273530,99128,t,Condominium,Entire home/apt,Potrero Hill,4,2.0,2.0,37.75612,-122.39967,33,325.0,150.0,475.0
274334,1434669,f,House,Private room,Outer Sunset,2,1.0,1.0,37.75346,-122.50358,75,89.0,,
276072,738203,t,Apartment,Private room,Mission,1,1.0,1.0,37.76833,-122.42591999999999,54,97.0,19.0,116.0
277339,1448282,t,Guest suite,Entire home/apt,Outer Mission,3,1.0,1.0,37.72681,-122.43418999999999,354,110.0,75.0,185.0
279184,1456262,f,Apartment,Entire home/apt,Mission,7,3.0,2.0,37.7529,-122.41553,13,575.0,200.0,775.0
280549,1454829,f,House,Private room,West of Twin Peaks,4,3.0,1.5,37.73773,-122.44956,35,250.0,0.0,250.0
284117,1479905,t,Guesthouse,Entire home/apt,Noe Valley,2,1.0,1.0,37.74334,-122.42931999999999,209,105.0,100.0,205.0
285499,1479964,f,Condominium,Entire home/apt,Castro/Upper Market,4,2.0,2.0,37.762879999999996,-122.43815,3,210.0,250.0,460.0
286311,400480,f,Condominium,Entire home/apt,Castro/Upper Market,8,3.0,2.0,37.76275,-122.44252,15,475.0,300.0,775.0
287907,428414,t,House,Entire home/apt,Outer Mission,6,2.0,2.0,37.73225,-122.43614,66,300.0,180.0,480.0
288213,1498483,t,Apartment,Entire home/apt,Potrero Hill,2,1.0,1.0,37.75971,-122.38833000000001,185,190.0,70.0,260.0
292723,305973,f,House,Private room,Excelsior,2,1.0,1.0,37.730959999999996,-122.42378000000001,18,45.0,35.0,80.0
295240,1525192,t,Apartment,Entire home/apt,Castro/Upper Market,4,1.0,1.0,37.76267,-122.43919,161,299.0,85.0,384.0
295565,305973,f,House,Private room,Excelsior,1,1.0,1.0,37.7303,-122.42464,12,30.0,30.0,60.0
306504,1541603,f,Apartment,Entire home/apt,Noe Valley,2,1.0,1.0,37.75587,-122.43602,5,225.0,100.0,325.0
